Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1979,USA,27.5,-114.5,0,0,0,0,0,7.495378,0,5.604621
1979,MEX,19.5,-110.5,0,0,0,0,0,0,0,9
1979,MEX,20.5,-109.5,0,0,0,0,0,31,0,2
1979,MEX,21.5,-110.5,0,0,0,0,0,36,0,0
1979,MEX,21.5,-109.5,0,0,0,0,0,2,0,1
1979,MEX,21.5,-108.5,0,0,0,0,0,5,0,0
1979,MEX,22.5,-110.5,0,0,0,0,0,8,0,0
1979,MEX,22.5,-109.5,0,0,0,0,0,30,0,0
1979,MEX,23.5,-111.5,0,0,0,0,0,0,0,14
1979,MEX,23.5,-110.5,0,0,0,0,0,0,0,5
1979,USA,16.5,-117.5,0,0,0,0,0,0,0,37.2
1979,USA,19.5,-113.5,0,0,0,0,0,40.9,0,5
1979,USA,19.5,-112.5,0,0,0,0,0,4.634547,0,22.46545
